Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-10-19 17:59:43 UTC,,,0.000565068592,JOE,,AVAX,,,,,0xe5b0dcc6493b0f12fa1dfb2f3f91bdea8a82bde310652c8355dea1d1b5822f62
2021-10-19 17:59:43 UTC,880.2006411861,JOE,,,0.004695625,AVAX,,,,,0xe5b0dcc6493b0f12fa1dfb2f3f91bdea8a82bde310652c8355dea1d1b5822f62
2021-10-19 18:18:54 UTC,,,34.41801206,AVAX,,AVAX,,,,,0xdc2e5ef54862c5e5d849a69110a6b48395e8e159877233e5f7a263bd29511f9b
2021-10-19 18:20:55 UTC,15.00000000000,AVAX,,,0.003141775000,AVAX,,,,,0x7a04b0b757ed213c7a3749af623c4a4618332154b7f94c2cdeaaad422cea22ab
2021-10-19 18:20:55 UTC,,,1134.504056385,TEDDY,,AVAX,,,,,0x7a04b0b757ed213c7a3749af623c4a4618332154b7f94c2cdeaaad422cea22ab
2021-10-20 07:51:49 UTC,0.599208969234,WETH,,,0.004201925000,AVAX,,,,,0x2b83f64ad50bf145572e714584bf0dd7176960672a054875ac53ea09c1fdb9aa
2021-10-20 07:51:49 UTC,,,832.4784411295,JOE,,AVAX,,,,,0x2b83f64ad50bf145572e714584bf0dd7176960672a054875ac53ea09c1fdb9aa
2021-10-20 07:52:40 UTC,,,0.353768086909,JOE,,AVAX,,,,,0xe349300859876da838ca77dbefc030b144f3976ad683ef49d451dc2432429edc
2021-10-20 07:54:52 UTC,,,0.000934752814,JOE,,AVAX,,,,,0xbd64197492985579bb160b6fbb2f9b5fd68714da85ca8578ab13960da18059eb
2021-10-20 07:54:52 UTC,,,100.0000000000,JOE,,AVAX,,,,,0xbd64197492985579bb160b6fbb2f9b5fd68714da85ca8578ab13960da18059eb
2021-10-20 07:56:07 UTC,100.0000000000,JOE,,,0.0013377,AVAX,,,,,0x2b1640348e265c2657491c74ca739a169d7bfa703459bd4b4043c9e0a8a29258
2021-10-20 07:56:07 UTC,,,113.6467509514,JOE,,AVAX,,,,,0x2b1640348e265c2657491c74ca739a169d7bfa703459bd4b4043c9e0a8a29258
2021-10-20 07:57:44 UTC,,,832.8266774589,JOE,,AVAX,,,,,0x49fdff95f434bcfb93d48eba679b1e4a5a5e56e270c7846da275d0d3c5107f8e
2021-10-20 07:57:44 UTC,946.4804599893,JOE,,,0.001948875,AVAX,,,,,0x49fdff95f434bcfb93d48eba679b1e4a5a5e56e270c7846da275d0d3c5107f8e
2021-10-20 07:58:33 UTC,,,0.001421489662,JOE,,AVAX,,,,,0x7298dd59d90b2dab615c6310ce970131e41703e254b9f755ae5ce385f23d528d
2021-10-20 07:58:33 UTC,832.8266774589,JOE,,,0.004695625,AVAX,,,,,0x7298dd59d90b2dab615c6310ce970131e41703e254b9f755ae5ce385f23d528d
2021-10-20 14:03:24 UTC,19.455312685,AVAX,,,0.003134,AVAX,,,,,0x2fc5024a5e55bb0b3205c48f5e18c5f3fba0a9ae42bf63915d564ecebc9dc9c2
2021-10-20 14:03:24 UTC,,,414.1019145195,JOE,,AVAX,,,,,0x2fc5024a5e55bb0b3205c48f5e18c5f3fba0a9ae42bf63915d564ecebc9dc9c2
2021-10-20 14:33:06 UTC,,,51.36106831000,AVAX,,AVAX,,,,,0x396d88c31bfe844e013053dd23321e05f3f12c41cccf834288773b6e3e352cd9
2021-10-20 14:34:21 UTC,22.99032468334,AVAX,,,0.004829475000,AVAX,,,,,0x3bc2d5dc6e5a27a8502ff12880f14716b94fc700069ff96630757946fb57dd8c
2021-10-20 14:34:21 UTC,,,490.0000000000,JOE,,AVAX,,,,,0x3bc2d5dc6e5a27a8502ff12880f14716b94fc700069ff96630757946fb57dd8c
2021-10-20 17:07:54 UTC,11.65,AVAX,,,0.003141775000,AVAX,,,,,0x3d5ba654312c6b1d511fd807a6a253c13aaf11dfd92c5e5b90c92709b744eec2
2021-10-20 17:07:54 UTC,,,1003.629652910,TEDDY,,AVAX,,,,,0x3d5ba654312c6b1d511fd807a6a253c13aaf11dfd92c5e5b90c92709b744eec2
2021-10-20 17:09:34 UTC,2.45,AVAX,,,0.003141775000,AVAX,,,,,0x4e5039e7f5ab52c98b40558d853dc5d68461749aa34b59031b4f854c2c608e42
